Episode Number,Episode Title,Air Date,Short Summary,Long Summary,Characters,Fruits
Episode 156,Criminals Already!? Skypiea's Upholders of the Law,8-Jun-03,"The White Berets come to arrest the Straw Hat Pirates for not paying their entrance, but they are easily defeated by Luffy and Nami.","The White Berets confront the Straw Hats telling them to pay the immigration fee. However, the Straw Hats refuse to pay, claiming that the fee is too expensive and also they cannot afford that amount of money. They are still worried that Nami has not returned and ignore the White Berets to discuss how they can get Nami back. Usopp tries to pacify the White Berets by telling the crew to calmly wait for Nami's return and tells the captain of the White Berets, McKinley, to be patient and that they would pay the fee when Nami returns.
McKinley goes on to link almost everything the Straw Hats do to a crime including owning a waver, hitting a rare fish (which was about to eat Conis) and Zoro's act about wanting to fight McKinley because of his ongoing talks about them committing a crime. Usopp told McKinley that Zoro just meant it as a joke and not actually cutting McKinley. Chopper got angry and stated that all McKinley is doing is trying to make them guilty by all means. Usopp tried to pacify Chopper and Chopper said all they are doing is standing around doing nothing. An idea came to Usopp and he said they could do something which is - sleep. McKinley on seeing this accused them of environmental pollution. Luffy and Zoro became angry and were ready to fight the White Berets; Usopp continued to try to pacify them.
At that point, Nami returned yelling for Luffy not to get anyone upset after noticing that the Skypiea authorities have made contact with the Straw Hats. On hearing the high amount of money Usopp told her about the immigration fee, Nami in anger hit McKinley with her Waver and told them to run. Usopp asked what crime Nami committed and was told it was a class 5 crime punishable by cloud drifting.
Nami told the rest of the crew what she had seen earlier and told them they have to leave immediately. The rest of the crew agreed. However, Luffy was displeased and refused to leave. Although Nami tried convincing him, Luffy remained adamant about not leaving. Conis then appeared and told them to hurry but McKinley told her that if she continues to aid the Straw Hats, she and her father would be punished as well. The White Berets then launched an attack on Luffy but he easily defeated them. McKinley laughed and told the Straw Hats that there is no escaping anymore. They are now class 2 criminals and the Priests of the Upper Yard will be the ones to judge them.","Monkey D. Luffy, Conis, Pagaya, McKinley, Sanji, Tony Tony Chopper, Nico Robin, Usopp, Roronoa Zoro, Su, Nami",
Episode 157,Can we Escape!? God's Ordeals are Set in Motion!,15-Jun-03,"While trying to escape from Skypiea, Robin, Chopper, Nami, and Zoro end up going to the forest, taken by a huge shrimp: a servant of God.","The Straw Hats have now been marked as wanted criminals and Nami convinces the crew for them to leave. However, Luffy remains adamant in not leaving until he visits the Upper Yard. Just as they are about to leave, Luffy asks Pagaya if they could take the rest of the food left in his house and he agrees. Luffy calls Sanji to come along to pack them lunches. Usopp then asks if he could take some materials that may be needed to fix a ship and Pagaya again agrees. The three of them leave to Conis house while the rest of the crew goes to the ship.
Conis then approaches the rest of the crew on the ship to tell them about a special cloud they could get on that would get them past the White Sea quickly and get them to Cloud End faster. Nami is excited to hear the news and states they just need to get there on time before Luffy realizes. Conis then tells them to raise their anchor and wait for the 3 that went up to her house. While at Conis house, Luffy notices she was not around and Pagaya tells them she went to give her regards to the rest of the crew.
After Conis left, Nami comments about seeing a ray of hope in their situation. Robin then questions if such a special cloud existed and if it did, it would not be unusual for Skypieans to live in the Blue Sea. However, Nami and Chopper disapproves it and Chopper uses Heavy Point to raise the anchor of their ship. Conis returns to her house and there Luffy and Sanji are going back andeal on food when Usopp gets up and looks towards the sea. The rest of the crew are awaiting the return of the 3 that left to Conis' house when they felt the ship move. Usopp then notices that something is going on and calls the attention of the other 2. They come out and realize that the ship has started to sail. Luffy comments on how cool it was that the ship was sailing backwards but Usopp tells them to look closely and they can see a shadow underneath the ship pulling the ship along with it.
Zoro wonders if they have gotten on the special current and Robin tells him that was not the case. While trying to understand the situation, Pagaya tells them that which is pulling their ship is the Super-Express Speed Shrimp. Zoro tells the rest of them to jump out of the ship and he would think of something but they were worried at what would happen to the ship if they left it. Zoro cuts the Speedy Shrimp and Robin tells him to stop because others will come after them. She says it may just be the beginning and Zoro comments on Heaven's Judgment saying the God is calling them forth.
Luffy, Usopp and Sanji ask where the rest of the crew are taken to and Pagaya says the Super-Express Speed Shrimp is a servant of God and most likely they are taken to the Sacrificial Altar at the Upper Yard. Sanji is very angry at God and Pagaya goes on to explain that people who are to become sacrifices receive one of the two judgments of heaven. They are either the sacrifice or the ordeal. He goes on to explain that the people being judged are the three of them left behind. Pagaya describes to them how to reach the location of the Sacrificial Altar. Luffy then replies that so all they have to do is to beat the priests and that things just got interesting.","Monkey D. Luffy, Nami, Usopp, Sanji, Roronoa Zoro, Nico Robin, Tony Tony Chopper, Pagaya, Conis, Su, Amazon (flashback), McKinley",
Episode 158,Trap on Lovely Street! Almighty God Enel,22-Jun-03,"Conis leads Luffy, Usopp, and Sanji to a boat to get to Upper Yard, but she confesses to them that it is a trap and almost gets killed by ""Heaven's Judgment"" because she made the god angry.","Luffy, along with Sanji and Usopp leave Conis' house to prevent Conis and Pagaya anymore trouble. Luffy and the others plan to go to the Sacrificial Altar but they are unsure where to go since the Skypiea map they obtained is too old, Conis appears saying her father wants her to help the Straw hats to the Sacrificial Altar. As Conis leads Luffy and the others to the Sacrificial Altar, McKinley spies on them chuckling happily wanting them to go to Upper Yard.
Luffy, Usopp and Sanji arrive at Lovely Street, still being followed by the White Berets. Lovely Street is a busy place with lots of markets, but the people around there seem to be avoiding them because they have been branded as being criminals. Luffy seems to be enjoying himself by fiddling with the things for sale like dials and other things. Conis finds the docks and head over there with Luffy and the others. The towns people seem to realize that the Straw Hats are leaving and that they will be saved from Enel's wrath. Luffy and Co. arrive at the Gondola Port, Luffy wants to ride a Gondola but they have to ride the crow. Luffy refuses to leave Lovely Street unless he takes the Gondola with the bull. Sanji comically beats up Luffy and makes him apologize to Conis. Conis told them to go through Gate 2 which will take them to the Milky road that leads to Upper Yard. Luffy questions Conis about why she has been trembling since they left her house. Sanji believes that Conis is worried about them but Usopp thinks something's wrong since Conis is leading them while the rest of the town is avoiding them. McKinley and the rest of the Skypieans watch as Conis reveals the secret mission Skypieans must complete when outsiders come to their land to Luffy, Sanji and Usopp causing the Skypieans to back away slowly.
A flashback of Pagaya and Conis appear. Pagaya thinks the Straw Hats are just like other ""Sea Dwellers"" and will back away from their dreams, making them retreat from Upper Yard. It is revealed that the citizens are all behind this plot for this was Enel's rule and all who disobey will be punished. Conis tells Luffy and the others that she called for the lobster to take away the Going Merry with the rest of the Straw Hats to Upper Yard. Now that Luffy, Sanji and Usopp were told the plan by Conis her life is in danger. Using Mantra, Enel summons a beam of light coming from the sky and aims it at Conis. Luffy tries to run away holding Conis, but the light is too big destroying some houses in the progress.
After the explosion, it seemed unsure whether Luffy or Conis were still alive. The Skypieans believed that should happen to anyone who denies Enel's power. A voice sounds that both people are safe. Gan Fall along with Pierre saved both Luffy and Conis. Gan Fall asked Luffy what will he do, Luffy answers that they will go to Upper Yard and save their friends. McKinley was surprised that they were leaving for the Upper Yard saying they were leaving without a single hesitation. The episode ends with Luffy, Sanji and Usopp heading to Upper Yard.","Monkey D. Luffy, Usopp, Sanji, Conis, McKinley, Pagaya, Su, Roronoa Zoro (flashback), Nami (flashback), Tony Tony Chopper (flashback), Nico Robin (flashback), Gan Fall, Pierre",
Episode 159,"Go Forth, Little Crow! To the Sacrificial Altar",6-Jul-03,"Luffy, Usopp, and Sanji finally enter Upper Yard, only to find out that the whole road is heavily trapped, but at last they arrive at the Ordeal Gates. Meanwhile, Robin, Zoro, and Nami go out to explore Upper Yard while Chopper stays behind to guard the ship alone.","Luffy, Usopp and Sanji begin their journey to Upper Yard and Usopp is questioning if Conis was going to be alright being that she is now branded as a criminal like them. As they head into Upper Yard, they comment on how huge the forest is. Just as they begin advancing into the forest, they are attacked by a big moving scythe. Luffy uses Gomu Gomu no Bazooka to help them escape. Just then they are again attacked, by wooden spears. Sanji and Luffy kick them off and Luffy uses Gomu Gomu no Kazaguruma to get them past. Just then, a razor boomerang appears and begins attacking them. As the Super-Express Speedy Shrimp abandons the rest of the crew, Robin comments on the fact that their current location appears to be a sacrificial altar. Luffy, Usopp and Sanji continue to be attacked, this time by a Sky Lamprey, which Sanji easily defeats.
Zoro has defeated a Sky Shark and decides to explore the forest. Nami comments on how dangerous it was since the priests and Enel were at Upper Yard. Nami indicates he needed to respect God and Zoro replies that he had never for one day prayed to God. Chopper thinks that was very cool of Zoro. The three traveling down the Milky Road are once again attacked by another Sky Lamprey and Luffy defeats it with ease. Robin decides to go with Zoro to explore the forest after seeing the writings on the sacrificial altar and commenting that the altar is about 1,000 years old. Robin states that the history of such excites her. She further indicates that there may be ""valuables"" in the ruins. On hearing this, Nami decides to go along with them as well. Leaving the ship in Chopper's care, they leave. Chopper later realizes that he is the one in most danger, being alone in a dangerous place.
Luffy, Sanji and Usopp are still making their way through the Milky Road and finally make their way to the entrance of the four different Ordeals.","Monkey D. Luffy, Usopp, Sanji, Roronoa Zoro, Tony Tony Chopper, Nico Robin, Nami",
Episode 160,Survival Rate: 10%! Priest Satori with the Power of Mantra!,13-Jul-03,"Luffy, Sanji, and Usopp chose to enter the Ordeal of Balls gate and there they encountered the Priest Satori.","Zoro, Nami and Robin continued exploring the forest when Robin brought to their attention that there is soil in their current location. They found it weird that soil is located on Sky Island which is supposed to be all cloud like. Robin went on to comment that there is a great deal of investigation worth doing on the Sky Island. The 4 Priests awaited the rest of the Straw Hats while they chose which Ordeal they have to go through. Luffy told them to go through the Ordeal of Balls and Usopp stated that the Ordeal of Balls feels less violent. He then went through the cons of each of the ordeals and settled to go by Luffy's instinct. They then agreed to choose Ordeal of Balls.
There, they encountered Satori, one of the four priests, and he easily overwhelmed them using his Mantra (ability to predict the opponent's move) and Impact (an attack that attacks the body inside out). Luffy told Sanji and Usopp to hurry and secure the dial ship which was almost out of sight caused by the initial attack of Satori on them. Luffy told them he was going to defeat Satori. Luffy tried his attacks, but Satori was able to see through them. Satori attacked Luffy with multiple Impact attacks and Luffy's head got stuck in a tree. Satori then went on to say Luffy was a tough one.","Roronoa Zoro, Nami, Nico Robin, Gedatsu, Shura, Satori, Ohm, Usopp, Monkey D. Luffy, Sanji, Tony Tony Chopper",
Episode 161,Peril of the Ordeal of Balls! Fight to the Death in the Lost Forest,20-Jul-03,"Luffy, Sanji, and Usopp come face to face with trouble deep in the forests of Skypiea. A priest named Satori guards the exit of the forest and the three friends must fight to escape, and of course, break free from the Ordeal of Balls. Meanwhile, Chopper encounters another strong opponent.","Satori continues his attack on Luffy, Sanji, and Usopp in the Ordeal of the Ball. Meanwhile, Usopp was attempting to recover the Little Crow before it travels deep into the forest. He tried his new weapon which was only partially functional and he wasn't able to disconnect the rope. Sanji, seeing Luffy and Usopp became upset and comically gave both of them beatings. Sanji told Usopp and Luffy that they need to temporarily forget about the boat and join forces in defeating Satori. Satori on hearing this, used impact to attack Sanji.
Aisa is seen running across Upper Yard and went into an opening in one of trees and was seen gathering soil. On hearing the footsteps of people, the girl went into hiding. Chopper is shown trying to retrieve the hammer he had dropped after hitting it against his fingers. On retrieving the hammer, a skyshark charged towards him, attempting to devour him and Chopper somehow landed on the shark and was thrown back to the ship, landing right in front of the One Whistle they received from Gan Fall.
Chopper decided to use the whistle, but only as his last resort. Just then Priest Shura arrives, questioning why Chopper is the only sacrifice he has to kill. After that moment, Chopper blew into the whistle. Satori continued to fight Luffy and Usopp after Sanji passed out from Satori's last attack, and he completely overwhelmed the three of them.","Satori, Monkey D. Luffy, Sanji, Usopp, Aisa, Nico Robin, Nami, Roronoa Zoro, Tony Tony Chopper, Gan Fall (flashback), Pierre (flashback), Shura, Fuza",
Episode 162,Chopper's in Danger! Former God vs Priest Shura,3-Aug-03,"Chopper, threatened by priest Shura, blows the whistle for Gan Fall to come, but before he can arrive, Priest Shura assaults Chopper and begins destroying the Going Merry with fire that comes out of his spear. Meanwhile, Zoro, Nami, and Robin continue their exploration of the forest.","Gan Fall has brought Pagaya and Conis to his home to protect them since Enel's Mantra cannot reach his home. Gan Fall goes on to indicate that it is a possibility that Luffy and his friends are people known as pirates in the Blue Sea. He tells them that Luffy and his friends are probably outside the law and how is that different from Conis and her father currently. He went on to reiterate that they are also in war with the Shandia and he was working on a peace treaty before Enel took his divine seat. Gan Fall tells of how the war will end when they hear the beautiful music resonate again, which initially lead to the start of the war.
Pierre heard the whistle go off and Gan Fall left right away to Chopper's aid. Shura and Fuza have already begun their attack on the Going Merry. Chopper is easily overwhelmed by Shura and Fuza. Nami continues to fall into perils of being attacked by sky sharks and is continuously saved by Zoro and Robin. Shura continues his attack on Chopper and is upset that Chopper neither wants to die, have his friends hurt, or the ship destroyed, yet Chopper is too weak at fighting. Shura went on to tell Chopper that since some of the people brought for the sacrifice escaped, he has to die in their stead and his death will weigh on them in realizing their mistakes. Just as he was about to kill Chopper, Gan Fall arrived and began battle with Shura.
Luffy has regained consciousness from the attack by Satori and Satori is about to launch another powerful attack on him.","Conis, Pagaya, Gan Fall, Su, Pierre, McKinley (fantasy), Shandia (fantasy), Tony Tony Chopper, Shura, Fuza, Aisa, Nico Robin, Nami, Roronoa Zoro, Sanji, Usopp, Monkey D. Luffy, Satori",
Episode 163,Ever Mysterious! Ordeal of String and Ordeal of Love!?,10-Aug-03,"Gan Fall cannot handle Shura and lost the battle. Meanwhile, Satori is finally defeated by Luffy and Sanji.","Satori has put together his Ball Dragon, which is made up of Surprise Balls with gunpowder and projectiles, and he launches it against Luffy, Sanji, and Usopp. Aisa is done gathering up Vearth and has returned to her village where she is seen sneaking in by Kamakiri. Wyper is seen discussing the current event of Gan Fall appearing at Upper Yard with other warriors and the village head. Wyper tells them that as long as there is a God trying to rule over them, they would rebel. Raki tried reasoning with him that Gan Fall may not be an enemy in a sense however, Wyper rejected her reason saying it will only get in the way.
Pagaya is seen fixing the waver the Straw Hats brought and discussing with Conis about helping the Straw Hats escape. Meanwhile, the battle between Gan Fall and Shura continued and Gan Fall lost. Zoro, Nami, and Robin continue their exploration of the forest. The battle between Luffy and Satori continues. Luffy being chased by the Ball Dragon ran towards a tree and happened to come by the string Satori is using to control the ball dragon. Luffy snaps the string in two making Satori lose control over the ball dragon. Luffy brings the ball dragon towards Satori which ends in an explosion. Usopp upon leaving the battle field to search for the boat is able to find the exit out of the forest. Luffy finally catches up with Satori and wraps his arms and legs around him, Sanji tells Luffy not to let go. Sanji and Luffy together defeat Satori.","Conis, Pagaya, Gan Fall, Su, Pierre, McKinley (fantasy), Shandia (fantasy), Tony Tony Chopper, Shura, Fuza, Aisa, Nico Robin, Nami, Roronoa Zoro, Sanji, Usopp, Monkey D. Luffy, Satori",
Episode 164,Light the Fire of Shandora! Wyper the Warrior,17-Aug-03,"Chopper is saved by a bunch of giant South Birds, who tell him that Gan Fall was actually God. Nami, Zoro, and Nico Robin discover the reason why Upper Yard is a soil island: it was once part of Jaya, and this is the part that Liar Mont Blanc Noland saw. Meanwhile, the Shandia attack Upper Yard.","Wyper discusses with the other Shandia warriors about Gan Fall entering Upper Yard, they thought that Gan Fall did not come to fight Enel for his position as God but for another reason. Aisa uses her Mantra abilities unknowingly seeing Satori lose, this frightens her making her scream during the Shandia meeting. Aisa tells Wyper that two voices disappeared, they assumed that Gan Fall and Shura killed each other and think that it is now the best time to attack Enel. Aisa tells Raki that Gan Fall did not defeat one of the priests but another group of people.
The kick that Sanji delivered to Satori knocked him out. Usopp tells Luffy and Sanji that they have to run to catch their boat. Usopp uses Usopp AAaaaAAAaaaAA to catch the boat, but the three Straw Hats smash into several trees making them almost unconscious once arriving back on the boat.
At the Sacrificial Altar, Chopper failed to save Gan Fall forgetting that he cannot swim. With Chopper and Pierre both being Devil Fruit users and Gan Fall unconscious, it seemed to be the end, but a mysterious bird came and saved them. Meanwhile, Gedatsu, Ohm, and Shura all know that Satori has been defeated, and they also sense that Upper Yard is under attack by the Shandia.
Nami sees something in the distance and cannot believe what she saw, so she aims to go to the seashore. Robin feels the same as Nami and thinks that her life long dream is not so far away. Chopper wakes up to realize that he is still alive along with Gan Fall and Pierre, but a flock of birds appear and scare Chopper. Zoro, Nami and Robin are close to the seashore, but they hear a battle cry and explosion in the distance. Nami runs ahead to see if what she saw was true; Upper Yard was once a part of Jaya and that the building she saw was the other half of Noland's house.
Chopper was amazed to see huge South Birds and was told they saved him. The birds also told him Gan Fall was the former God.","Aisa, Wyper, Kamakiri, Genbo, Raki, Braham, Satori, Sanji, Monkey D. Luffy, Usopp, Tony Tony Chopper, Gan Fall, Pierre, Gedatsu, Holy, Ohm, Shura, Fuza, Nami, Roronoa Zoro, Nico Robin, Mont Blanc Cricket (flashback), Mont Blanc Noland (picture), Aruyutayan V (picture)",
Episode 165,"Floating Land of Gold, Jaya! To God's Shrine!",24-Aug-03,"The Shandia's attack on Upper Yard has started. The crew is finally reunited, and everyone speaks up about what has happened. Chopper takes care of Gan Fall, and the pirates plan to steal the gold on the island.","Nami, Zoro, and Robin made a huge discovery about Jaya that it did not sink to the bottom of the ocean but instead rose to the sky, along with all the native animals that have adapted to live in the sky. According to Nami, the half of Jaya in the sky is the City of Gold, to which Nami thinks God is praising her for being good. Meanwhile, the Shandia have started their invasion on Upper Yard and are up against the Priests. Luffy, Sanji, and Usopp have finally left the Ordeal of Balls and find themselves in a grass field full of skulls. Usopp assumes that the skulls are to intimidate anyone one who passes and says it's working. Just as Luffy, Sanji, and Usopp were traveling down the Milky Road, they heard explosions and saw several Shandia warriors flying above them. Wyper looked and fired an iron ball at them but Luffy rebounds it with Gomu Gomu no Fusen which surprises Wyper and the other Shandia. Sanji recognized that Wyper was the Guerilla that attacked them on their arrival. Wyper states that he will kill Enel and them if they get in his way, which signified that the Guerillas and Enel are enemies. Luffy is angered by Wyper for attacking him and takes actions by challenging him to a fight, but Wyper left commenting that they may not even make it out of the island alive.
Meanwhile, the battle continues between the Shandia and the priests from Upper Yard. Luffy, Sanji, and Usopp are still making their way to the sacrificial altar through the Milky Road which seems like a roller coaster ride. Zoro's party arrived back to the ship and realized that Chopper was attacked and feared the worst, but Chopper came out crying. Luffy's party arrives at the end of the Milky Road and there were Sky Sharks that were ready to be beaten. Luffy knocked them out using Gomu Gomu no Gatling Gun and found the ship and the rest of the crew.
The crew believe that the ship was too dangerous to sleep inside, so they went ashore and went camping for the night. The Straw Hats had a session reviewing what had happened. Luffy's group, Zoro's group and Chopper gave reports learning of the priests, Mantra, and the City of Gold. Luffy made the decision that they would be taking treasure from the City of Gold.","Nami, Roronoa Zoro, Nico Robin, Fuza, Shura, Braham, Monkey D. Luffy, Sanji, Usopp, Wyper, Ohm, Holy, Gedatsu, Raki, Kamakiri, Genbo, Tony Tony Chopper, Gan Fall, Pierre",
Episode 166,Eve of Gold Festival! Feelings Toward 'Vearth'!,7-Sep-03,The crew analyzes the possible location of the City of Gold. Gan Fall tells them a little more about the history of Upper Yard. The Shandia resolve their issues and plan to return back to Upper Yard and finish their fight so as to finally return to their original home.,"The Straw Hats begin to make their preparation to find the City of Gold. Sanji prepares to cook while Zoro, Chopper, and Robin go in search of ingredients. Usopp prepares to fix the ship and Nami prepares the plan. Gan Fall is still resting and recuperating from his injuries. Later on, the crew get together and Nami had a hunch and told them the possible location of the city of gold. Chopper also tells the crew of the flock of large South Birds who rescued them and how they were calling Gan Fall, God. Luffy thinking it was the same God asked if Gan Fall was the person he was to beat up and Usopp comically replied no.
At the Shandia village, Raki apologies and that it was because of her, Kamakiri was injured. Luffy, Usopp, Zoro, and Sanji decide to have a campfire. Just then they were threatened by a pack of wolves who think the Straw Hats are there to take over their land. Nami punches the leader of the pack and settled the misunderstanding. The crew began the campfire and the party started.
Gan Fall wakes up and Zoro thanked him for saving Chopper and the Going Merry. Gan Fall then asked if they knew how Upper Yard came to be called the Holy Land. Wyper is angry at Raki since he thought she was distracted during the battle because of the Vearth. Gan Fall explains that the Sky Cloud cannot support plant life and Vearth is the yearning of every Sky Island person. Kamakiri explains that the warriors must return and continue the fight in order to return to their original home.","Fuza, Shura, Holy, Ohm, Raki, Kamakiri, Genbo, Wyper, Gedatsu, Tony Tony Chopper, Roronoa Zoro, Sanji, Monkey D. Luffy, Nami, Nico Robin, Usopp, Pierre, Gan Fall",
Episode 167,God Enel Appears!! Aubade to the Survivors,21-Sep-03,Enel takes away all the limitations the Priests had. Usopp witnesses a mysterious shadow fixing the ship and the next day the Going Merry is found in her original form. The ship is taken off the altar and the Straw Hats act out their plan.,"Usopp wanting to urinate and being too scared to go alone asked Zoro to accompany him but Zoro refused. Usopp went on his own and noticed that someone was on the ship fixing it. Shocked by the mysterious shadow, Usopp blacks out only to be found by Zoro the next day. The Priests were summoned by Enel, but they began fighting against one another seeing who is the strongest among the three priests. While arguing amongst themselves, they questioned where Enel was and a bolt of lightning came and Enel appeared.
Enel reveals to the priests the purpose of the Straw Hats coming to Sky Island and told them the Shandia will also be attacking and therefore, the Upper Yard is opened to the priests without any area limitation. He also told them the Ark Maxim was ready. Gan Fall ponders on what Enel's plans might be and Wyper rekindles his resolve to take Enel out.
The Straw Hats on the following morning realize that their ship has been repaired. They pondered on who may have fixed the ship considering their location. Usopp wondered how the repair person was able to fix the ship correctly to its original design. Finally, Usopp and Chopper begin their attempt to get the ship off the sacrificial altar. Usopp used Chopper as bait to lure the sky sharks so as to use their power to pull the ship. Nami divided the crew into the exploration and home team. The exploration team will go in search of the gold and the other team will sail the ship which then, they would escape Upper Yard. With this, they set out, and so did their enemies.","Monkey D. Luffy, Pierre, Tony Tony Chopper, Sanji, Nico Robin, Nami, Roronoa Zoro, Usopp, A mysterious man fixing the Going Merry, Gedatsu, Shura, Ohm, Yama, Enel, Gan Fall, Wyper, Holy, Fuza, Gode",
Episode 168,The Python Strikes! The Survival Game Begins,12-Oct-03,"A giant python makes Luffy, Robin, Chopper, and Zoro split up while going to the ruins in the south. Gan Fall tells the history behind the war between the Shandias and the inhabitants of Sky Island. Shandia warriors move out to battle at the Upper Yard.","The exploration team of the Straw Hats move out to find the gold and the rest of the crew sail out. While traveling through the forest, Chopper noticed that a tree root was moving. He ignored it saying to himself that the crew would make jest of him if he told them. Just then Luffy turned back and noticed the same thing as Chopper and commented on it, which got the attention of the other two. The tree root began to move and what appeared before them was a Giant Python.
The rest of the crew sailing down the Milky Road had Gan Fall with them. Gan Fall then told them of the history behind the war between the Shandia and the inhabitants of Sky Island. He further told them of how the Shandia, being the original inhabitants of the Upper Yard were driven out of their land and the Sky Islanders possessed it for selfish interest. This led to the war between the Shandia and the people of Sky Island. Gan Fall explained what transpired the rule of Enel as God. Sanji asked why the crew was attacked by a Shandia when they first arrived and Gan Fall explained to them that some enforcers seized by Enel escape via ship and are ultimately defeated by the Shandia. He told them that they may have been falsely recognized as being runaway enforcers. Gan Fall further explained the Citizens Sense of Crime which occurs when outsiders visit Skypiea. He was however, confused about what gold was and asked the crew traveling with him.
Gan Fall was shown in a flash back at one of his attempts at negotiating with the Shandia. Wyper, clearly angry, refused negotiating unless Gan Fall returned all of their land to them. Gan Fall stated he could not return everything as the Vearth was also useful to the people of Sky Island, who he thinks are innocent of the actions that transpired years back.
Wyper and the rest of the Shandia warriors prepare for battle with Wyper once again renewing his resolve to defeat Enel. He informed the warriors that only those prepared to leave the injured behind and continue battle should join him.
The rest of the Straw Hats in the forest get attacked by the giant python and in their attempt to escape from it, they get separated. The Shandia warriors move out to Upper Yard with the goal of reaching the God Shrine to take Enel out.","Roronoa Zoro, Monkey D. Luffy, Tony Tony Chopper, Nico Robin, Nola, Usopp, Pierre, Nami, Sanji, Gan Fall, Enel, Ohm (flashback), Gedatsu (flashback), Shura (flashback), Satori (flashback), Yama (flashback), Conis (flashback), Wyper, Shandia Chief (flashback), Kamakiri, Braham, Genbo, Raki, Aisa (flashback), Isa (flashback)",
Episode 169,The Life-Threatening Reject! War Demon Wyper's Resolve,19-Oct-03,"Wyper takes out Shura and tells his goal to the Shandia. Enel speaks up about how many people will be alive by the end of Survival game, claiming that only 5 of all 81 will be left standing.","Aboard the Going Merry, Gan Fall begins to explain Sky Warfare to Sanji, Nami and Usopp. He demonstrated this by having Sanji hit the Impact dial with a large hammer, to no avail. Gan Fall tells Sanji to press the tip of the dial, causing a blast to be emitted from the shell. Gan Fall further explained how some other dials are used for warfare. When asked about Mantra, Gan Fall told them it is difficult to explain, however he was able to explain some of the basics, and told them what the hearing capabilities of the priests and Enel were.
Enel is seen at his shrine, counting the total number of people in his survival game as totaling 81. He asked one of his advisers to predict the number of people that will be left in three hours, and the man says that he is underestimating the power of people in the battle. Enel predicts that five people will be left after three hours.
The Shandia warriors have made their way into the Upper Yard forest and found themselves trapped in Shura's Ordeal of String. Just as Shura was explaining to the warriors how they got tangled, he felt the presence of Wyper and both began battle. Just as Shura began his attack, Wyper threw his weapon and shield away to take Shura's hit. After enduring the attack to lure Shura in, he defeated Shura using the Reject Dial. Enel's commenting indicates that Shura was defeated as a result of underestimating Sky Weapons. Meanwhile, Divine Soldiers have also been mobilized by Yama.
Luffy making his way through the forest was attacked by a Divine Soldier, who he easily bested. He then encountered Wyper, who decided to eliminate Luffy because he refused to leave the Island. Both of them then prepare to fight each other.","Sanji, Gan Fall, Nami, Usopp, Monkey D. Luffy, Satori (flashback), Pierre, Tony Tony Chopper (flashback), Shura, Fuza, Enel, Gode, Yama, Braham, Kamakiri, Wyper, Genbo, Raki",
Episode 170,Fierce Sky Battle! Pirate Zoro vs Fighter Braham,19-Oct-03,"Zoro fights the Shandia warrior Braham and defeats him with Ittoryu (One Sword Style) 36 Pound Cannon technique. Luffy and Wyper have begun their battle and Chopper has arrived at the ruins. Meanwhile, Enel visits the Going Merry and knocks out Sanji.","Chopper was running around scared and Robin is seen in what appears to be the ruins. Zoro is seen talking to himself about his Flying Blade attack and he tried it out on a bird attempting to attack him, but he said the attack wasn't ready, thus searching for another thing to test this attack on. Chopper, running scared, is actually being chased by the Divine Soldiers, but they encounter a Shandia and ignore Chopper and fight one another. Robin, still at the ruins, is approached by a Divine Soldier who tells her to go this route leading to God's shrine. Robin, upset at the Divine Soldier for breaking some part of the ruins, defeats him.
Zoro, still making his way through the forest, is attacked by a Shandia warrior and Zoro punches him, knocking him out. In that moment, Braham defeats a Divine Soldier and proceeds to fight Zoro. Zoro initially tried to ignore the fight since Braham was not a priest. However, when Braham's attacks continued, Zoro prepared to fight him saying that he is glad Braham is not a second-rate flunkie. The Shandia and the Divine Soldiers are now engaged in battle and so are Braham and Zoro. Zoro was initially having problems fighting Braham because of the Jet Skis and Flash Guns that Braham has, thus making it a long-range battle. As the battle continues, Zoro decides to try his new technique. With Ittoryu - Sanjuroku Pound Ho, Zoro was able to defeat Braham and commented to himself about accepting the survival game.
Chopper, wailing about being left by the others, finds himself at the ruins and congratulates himself on being smart. Meanwhile, Gedatsu was in the same area and Chopper did not notice him. Luffy and Wyper continue their face-off and Wyper was shooting cannons at Luffy which Luffy rebounded using his Gomu Gomu no Mi abilities. Enel has visited the Straw Hats' ship and Sanji attempted at attacking but was defeated by Enel's Goro Goro no Mi abilities. Enel stated he had come without the intention of fighting and referred to Sanji as a foolish man. Gan Fall asked what his purpose of visit was, but Enel just told him it's been a long time since they met, and said that that is a cold-hearted way of greeting him.","Monkey D. Luffy, Wyper, Tony Tony Chopper, Nico Robin, Roronoa Zoro, Braham, Gedatsu, Usopp, Nami, Sanji, Gan Fall, Pierre, Enel","Gomu Gomu no Mi, Goro Goro no Mi"
